EIN	Name
941105628	KAISER FOUNDATION HOSPITALS
900656139	PARTNERS HEALTHCARE SYSTEM INC &
941196203	DIGNITY HEALTH
231352685	TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA
510216586	PROVIDENCE HEALTH & SERVICES -
942854057	IHC HEALTH SERVICES INC
364724966	Northwestern Memorial HealthCare Group
450233470	Banner Health
951642394	University of Southern California
133957095	THE NEW YORK AND PRESBYTERIAN HOSPITAL
362169147	ADVOCATE HEALTH AND HOSPITALS CORP
741152597	Memorial Hermann Health System
753052953	BJC HEALTH SYSTEM GROUP RETURN
10649794	HACKENSACK MERIDIAN HEALTH INC-SUBORDINATES
611649250	AURORA HEALTH CARE INC GROUP RETURN
133971298	NYU LANGONE HOSPITALS
311161086	Mercy Health
363261413	ALLINA HEALTH SYSTEM
580566256	Emory University
352528741	Vanderbilt University Medical Center
940562680	SUTTER BAY HOSPITALS
946174066	STANFORD HEALTH CARE
160743209	UNIVERSITY OF ROCHESTER
590624458	University of Miami
131740114	MONTEFIORE MEDICAL CENTER
591479658	Adventist Health SystemSunbelt Inc
910511770	KAISER FOUNDATION HEALTH PLAN OF WASHINGTON
410991680	FAIRVIEW HEALTH SERVICES
581954432	NORTHSIDE HOSPITAL INC
900059117	UNIVERSITY HOSPITALS HEALTH SYSTEM INC
562070036	DUKE UNIVERSITY HEALTH SYSTEM INC
821406555	Highmark Health Group
351955872	INDIANA UNIVERSITY HEALTH INC
611740292	Spectrum Health System Group Return
951644600	CEDARS-SINAI MEDICAL CENTER
941156621	SUTTER VALLEY HOSPITALS
911352172	MULTICARE HEALTH SYSTEM
951684089	SCRIPPS HEALTH
381357020	HENRY FORD HEALTH SYSTEM
60646652	YALE NEW HAVEN HOSPITAL
112241326	LONG ISLAND JEWISH MEDICAL CENTER
540620889	INOVA HEALTH CARE SERVICES
910939479	PEACEHEALTH
314394942	OhioHealth Corporation
651301877	Atlantic Health System Inc Group Return
131624096	THE MOUNT SINAI HOSPITAL
381459362	WILLIAM BEAUMONT HOSPITAL
510216587	PROVIDENCE HEALTH & SERVICES - OREGON
912155626	UMass Memorial Health Care Inc & Affiliates
111562701	NORTH SHORE UNIVERSITY HOSPITAL
310833936	Children's Hospital Medical Center
382113393	TRINITY HEALTH - MICHIGAN
910433740	SWEDISH HEALTH SERVICES
520591656	THE JOHNS HOPKINS HOSPITAL
741100555	TEXAS CHILDREN'S HOSPITAL
352391110	Memorial Health Services Group Return
231352166	THE CHILDREN'S HOSPITAL OF PHILADELPHIA
591726273	Orlando Health Inc
541547408	SENTARA HOSPITALS
370813229	OSF Healthcare System
363488183	University of Chicago Medical Center
620479367	METHODIST HEALTHCARE - MEMPHIS HOSPITALS
231689692	LEHIGH VALLEY HOSPITAL
10238552	MaineHealth
811723202	PRISMA HEALTH-UPSTATE
610444707	Baptist Healthcare System Inc
362174823	Rush University Medical Center
840405257	Catholic Health Initiatives Colorado
473869194	Albany Medical Center Group
560552787	NORTH CAROLINA BAPTIST HOSPITAL
510103684	CHRISTIANA CARE HEALTH SERVICES INC
42774441	Children's Hospital Corporation
232829095	THOMAS JEFFERSON UNIVERSITY HOSPITALS INC
352410801	METHODIST HOSPITAL GROUP
741180155	THE METHODIST HOSPITAL
42103881	BETH ISRAEL DEACONESS MEDICAL CENTER
860181654	Scottsdale Healthcare Hospitals
582296052	PRISMA HEALTH-MIDLANDS
273850988	UC Healthcare System
610703799	Norton Hospitals Inc
770003859	LUCILE SALTER PACKARD CHILDREN'S
