EIN	Name	TotalFunctionalExpenses
111352310	SOUTH NASSAU COMMUNITIES HOSPITAL INC	498711198
111562701	NORTH SHORE UNIVERSITY HOSPITAL	2620775090
111630755	The Brooklyn Hospital Center	412172710
111630914	Huntington Hospital Association	437626705
111631746	BROOKDALE HOSPITAL MEDICAL CENTER	589027504
111631759	KINGSBROOK JEWISH MEDICAL CENTER	218747127
111631781	FLUSHING HOSPITAL MEDICAL CENTER	275350224
111631788	JAMAICA HOSPITAL MEDICAL CENTER	563141090
111631796	NEWYORK-PRESBYTERIANBROOKLYN	811556125
111631837	Wyckoff Heights Medical Center	344186693
111633486	NYU WINTHROP HOSPITAL	1320543973
111633487	GLEN COVE HOSPITAL	152532285
111633563	EASTERN LONG ISLAND HOSPITAL ASSOC INC	54801730
111635081	Maimonides Medical Center	1208562436
111635088	MERCY MEDICAL CENTER	246067503
111639818	JOHN T MATHER MEMORIAL HOSPITAL	364939821
111661359	CENTRAL SUFFOLK HOSPITAL	201820115
111665825	Episcopal Health Services Inc	249401389
111667761	SOUTHSIDE HOSPITAL	657039578
111704595	BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER	271279000
111839362	NEWYORK-PRESBYTERIANQUEENS	787955857
111871039	ST CHARLES HOSPITAL	238808627
111888924	GOOD SAMARITAN HOSPITAL MEDICAL CENTER	683468689
111986351	The New York Community Hospital of Brooklyn	108492702
112050523	ST FRANCIS HOSPITAL	728308479
112241326	LONG ISLAND JEWISH MEDICAL CENTER	2989896690
112626155	Interfaith Medical Center Inc	243626207
112837244	THE LONG ISLAND HOME	134545317
112868878	STATEN ISLAND UNIVERSITY HOSPITAL	953808382
113241243	PLAINVIEW HOSPITAL	226304120
113438973	WSNCHS NORTH INC	126744715
131624070	Lenox Hill Hospital	1351513999
131624096	THE MOUNT SINAI HOSPITAL	2774055234
131624135	NEW YORK SOCIETY FOR THE RELIEF OF THE	1110951590
131624158	THE ROCKEFELLER UNIVERSITY	582124924
131725076	PHELPS MEMORIAL HOSPITAL ASSOCIATION	239518696
131739922	BLYTHEDALE CHILDREN'S HOSPITAL	80272029
131739937	THE WINIFRED MASTERSON BURKE	96900899
131740110	NewYork-PresbyterianLawrence	74874554
131740114	MONTEFIORE MEDICAL CENTER	3883964303
131740118	NORTHERN WESTCHESTER HOSPITAL ASSOCIATION	297045268
131740119	MONTEFIORE NYACK HOSPITAL	271247716
131740120	HUDSON VALLEY HOSPITAL CENTER	227196219
131740122	ST BARNABAS HOSPITAL	427369513
131740126	ST JOHNS RIVERSIDE HOSPITAL	281818316
131740127	ST JOSEPH'S HOSPITAL YONKERS	243292452
131740130	WHITE PLAINS HOSPITAL MEDICAL CENTER	647305163
131740274	CALVARY HOSPITAL INC	122517200
131974191	BRONXCARE HEALTH SYSTEM	770627566
132997301	ST LUKE'S-ROOSEVELT HOSPITAL CENTER	1281052849
133746997	The New York Gracie Square Hospital Inc	56304233
133957095	THE NEW YORK AND PRESBYTERIAN HOSPITAL	5966434053
133971298	NYU LANGONE HOSPITALS	4604940186
134111638	WESTCHESTER-ELLENVILLE REGIONAL HOSPITAL	20252206
134343743	CRAIG AND FRANCES LINDNER CENTER OF HOPE	26094197
135562304	New York Eye & Ear Infirmary	145103029
135564934	BETH ISRAEL MEDICAL CENTER	1024182990
135596796	Mary Imogene Bassett Hospital	563516949
141338373	The Columbia Memorial Hospital	161853765
141338386	SUNNYVIEW HOSPITAL AND REHABILITATION	58422943
141338413	Glens Falls Hospital	356566101
141338428	ELLIS HOSPITAL	440049145
141338457	MEMORIAL HOSPITAL ALBANY NY	95923560
141338465	NATHAN LITTAUER HOSPITAL ASSOCIATION	105638851
141338467	NORTHERN DUTCHESS HOSPITAL	119147463
141338470	HEALTHALLIANCE HOSPITAL MARY'S AVE CAMPUS	67658666
141338471	CHAMPLAIN VALLEY PHYSICIANS HOSPITAL	373594056
141338544	SAMARITAN HOSPITAL	342402120
141338547	THE SARATOGA HOSPITAL	310011718
141338586	VASSAR BROTHERS MEDICAL CENTER	573620067
141340054	ST LUKE'S CORNWALL HOSPITAL	229783380
141347719	St Mary's Healthcare	183201099
141348692	ST PETER'S HOSPITAL	612137805
141349558	HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS	119961947
141364513	ELIZABETHTOWN COMMUNITY HOSPITAL	44162225
141364536	Orange Regional Medical Center	486877311
141372647	MOSES-LUDINGTON HOSPITAL	3200696
141731786	ADIRONDACK MEDICAL CENTER	114194729
141772971	Bassett Hospital of Schoharie Cty	29894081
141776186	SETON HEALTH SYSTEM INC	47478258
141885340	SPARROW SPECIALTY HOSPITAL	12648586
146019179	PUTNAM HOSPITAL CENTER	155300346
146049030	Catskill Regional Medical Center	95931889
150346515	ALICE HYDE MEDICAL CENTER	96668655
150524324	DELAWARE VALLEY HOSPITAL INC	24091367
150532054	AUBURN COMMUNITY HOSPITAL	105341322
150532079	GUTHRIE CORTLAND MEDICAL CENTER	93238541
150532180	CHENANGO MEMORIAL HOSPITAL INC	73576566
150532220	OSWEGO HOSPITAL	125400625
150532221	Our Lady of Lourdes Memorial Hospital Inc	387206907
150532245	ST ELIZABETH MEDICAL CENTER	225823654
150532254	ST JOSEPH'S HOSPITAL HEALTH CENTER	649877382
150533564	SCHUYLER HOSPITAL INC	34922174
150533577	SAMARITAN MEDICAL CENTER	237036295
150533578	LITTLE FALLS HOSPITAL	34723618
150539039	AURELIA OSBORN FOX MEMORIAL HOSPITAL	86487686
150548010	COMMUNITY MEMORIAL HOSPITAL INC	43214737
150552726	MARGARETVILLE MEMORIAL HOSPITAL	14757376
150559686	CLAXTON-HEPBURN MEDICAL CENTER	99477254
150584188	NEWARK-WAYNE COMMUNITY HOSPITAL	104369439
150622079	CARTHAGE AREA HOSPITAL INC	52155990
160393490	CORNING HOSPITAL	113231927
160743024	FREDERICK FERRIS THOMPSON HOSPITAL	140232638
160743029	UNITED MEMORIAL MEDICAL CENTER	109259595
160743032	GENEVA GENERAL HOSPITAL	96888797
160743037	HIGHLAND HOSPITAL OF ROCHESTER	380243094
160743094	NIAGARA FALLS MEMORIAL MEDICAL CENTER	112676248
160743102	OLEAN GENERAL HOSPITAL	190405019
160743134	THE ROCHESTER GENERAL HOSPITAL	983441367
160743163	ST JOSEPHS HOSPITAL	46275655
160743187	Sisters of Charity Hospital	344833426
160743192	SOLDIERS & SAILORS MEMORIAL HOSPITAL OF	28769439
160743209	UNIVERSITY OF ROCHESTER	4007593282
160743226	UPMC CHAUTAUQUA AT WCA	101807571
160743301	BROOKS-TLC HOSPITAL SYSTEM	75037664
160743310	ST JAMES HOSPITAL	32988213
160743905	ARNOT OGDEN MEDICAL CENTER	313441981
160743921	BERTRAND CHAFFEE HOSPITAL	20179350
160743966	CLIFTON SPRINGS SANITARIUM CO	64148192
160743979	NICHOLAS H NOYES MEMORIAL HOSPITAL	59517721
160755761	CUBA MEMORIAL HOSPITAL INC	10193638
160755799	ORLEANS COMMUNITY HEALTH	25437144
160756336	Mercy Hospital of Buffalo	443021721
160762843	Kenmore Mercy Hospital	174241886
160772474	TLC HEALTH NETWORK	31740277
160835446	IRA DAVENPORT MEMORIAL HOSPITAL INC	24924389
160960470	CROUSE HEALTH HOSPITAL INC	444301561
161012691	CANTON-POTSDAM HOSPITAL	206044749
161137084	EASTERN NIAGARA HOSPITAL INC	68314968
161165049	UNITED HEALTH SERVICES HOSPITALS INC	692554501
161471634	ROME MEMORIAL HOSPITAL	94552040
161492011	ONEIDA HEALTH SYSTEMS	86966925
161523353	Mount St Mary's Hospital	107000712
161533232	KALEIDA HEALTH	1343724477
161540394	O'Connor Hospital	21487888
161576637	FAXTON ST LUKE'S HEALTHCARE	310543262
200479568	BRIDGES MEDICAL CENTER	9121013
200743054	BLUE MOUNTAIN HOSPITAL	14667658
200925675	ContinueCare Hospital at Baptist Health LLC	8959964
200991990	ContinueCare Hospital of Tyler Inc	19860553
201106426	MARY WASHINGTON HEALTHCARE GROUP RETURN	633580958
201244058	FERRELL HOSPITAL COMMUNITY FOUNDATION	23696591
201486678	ADVENTIST REHABILITATION HOSPITAL OF	46125708
201645949	CFHS HOLDINGS INC	111323936
201649466	BARBARA ANN KARMANOS CANCER HOSPITAL	288041032
201835779	LAIRD HOSPITAL INC	30891957
201890414	HEARTLAND HEALTH SYSTEM INC	29791700
202401676	COMMUNITY HOSPITAL OF LAGRANGE COUNTY	40965286
202850920	Scott & White Continuing Care Hospital	20285528
203069241	WALKER COUNTY HOSPITAL CORPORATION	112533123
203700131	Owasso Medical Facility Inc	28670076
203713023	INFIRMARY HEALTH HOSPITALSINC	10291700
203749695	Scott & White Hospital Round Rock	325774991
204474637	JANE TODD CRAWFORD MEMORIAL HOSP	18602898
204560540	MIDWEST MEDICAL CENTER	25703425
204943109	LANCASTER GENERAL HEALTH HOLDINGS INC	7358956
205077249	PIEDMONT NEWNAN HOSPITAL INC	239547037
