EIN	Name
100000023	HEALTHY CAPITAL DISTRICT INITIATIVE INC
100000231	NORTH COUNTRY HEALTHY HEART NETWORK INC
100001184	JOINT COMMITTEE FOR CHILDRENS HEALTH CARE IN EVERETT
110461385	VAUGHN COLLEGE OF AERONAUTICS AND TECHNOLOGY
111068640	NASSAU COUNTY MEDICAL SOCIETY INC
111627264	SUFFOLK COUNTY MEDICAL SOCIETY INC
111630741	ADELPHI UNIVERSITY
111630753	METROPOLITAN JEWISH HEALTH SYSTEM FOUNDATION
111630810	IBEW LOCAL 25 HEALTH AND BENEFIT FUND
111630830	ST JOHNS UNIVERSITY NEW YORK
111630906	HOFSTRA UNIVERSITY
111633516	LONG ISLAND UNIVERSITY
111633518	NORWEGIAN CHRISTIAN HOME AND HEALTH CENTER
111635084	LONG BEACH MEDICAL CENTER CO LORI LAPIN JONES ESQ PLAN ADMIN
111635105	ST FRANCIS COLLEGE
111667765	SOUTHAMPTON HOSPITAL ASSOCIATION
111672777	MENORAH HOME AND HOSPITAL FOR THE AGED AND INFIRM
111679599	ST MARYS HOSPITAL FOR CHILDREN INC
111704590	FACULTY STUDENT ASSOCIATION OF DOWNSTATE MEDICAL CENTER INC
111710983	MENTAL HEALTH ASSOCIATION OF NASSAU COUNTY INC
111733439	ST JOSEPHS COLLEGE
111774226	HEALTH AND WELFARE PLAN LOCAL 854 IBT
111782177	BCTGM LOCAL 53 HEALTH BENEFITS FUND
111797182	MOLLOY COLLEGE
111805341	AUXILIARY ENTERPRISE BOARD OF NEW YORK CITY COLLEGE OF TECHNOLOGY INC
111824299	AUXILIARY SERVICE CORP SUNY FARMINGDALE
111839302	ALUMNI ASSOCIATION COLLEGE OF MEDIC SUNY HEALTH SCIENCE CTR AT BROOKLYN
111858098	HEALTH AND WELFARE COUNCIL OF LONG ISLAND INC
111867905	WOODWARD MENTAL HEALTH CENTER INC
111904329	BROOKLYN COLLEGE FOUNDATION INC
111955915	LOCAL 298 HEALTH FUND II
111967404	LOCAL 298 HEALTH FUND I LOCAL 298 HEALTH BENEFIT FUND 1
111986234	MEDICAL SOCIETY OF THE COUNTY OF KINGS INC
111986378	FACULTY STUDENT ASSOCIATION OF THE STATE UNIVERSITY OF NY AT STONY BROOK
111991614	SUFFOLK COMMUNITY COLLEGE ASSOCIATION INC
112000685	BROOKLYN COLLEGE STUDENT SERVICES CORP
112026238	HEALTH AND WELFARE FUND  LOCAL 485 CO CARDAY ASSOCIATES INC
112033858	NASSAU HEALTH CARE FOUNDATION INC
112037770	QUEENSBOROUGH COMMUNITY COLLEGE AUXILIARY ENTERPRISE ASSOCIATION
112050344	KINGSBOROUGH COMMUNITY COLLEGE ASSOCIATION INC
112106191	QUEENS SYMPHONY ORCHESTRA C-O QUEENS COLLEGE
112113949	HILLSIDE HOSPITAL HOUSES INC CO NORTHWELL HEALTH INC
112137749	YORK COLLEGE ASSOCIATION INC
112140888	QUEENS VILLAGE COMMITTEE FOR MENTAL HEALTH FOR J-CAP INC
112157078	DOWLING COLLEGE
112162880	OLD WESTBURY COLLEGE FOUNDATION INC
112171903	NORTH SHORE UNIVERSITY HOSPITAL HOUSING INC
112257176	FIORELLO H LAGUARDIA COMMUNITY COLLEGE ASSOCIATION INC
112307228	AMERICAN FEDERATION OF TEACHERS NASSAU COMMUNITY COLLEGE LOCAL 3150
112322834	FACULTY ASSOCIATION OF SUFFOLK COMMUNITY COLLEGE
112329960	ODA PRIMARY HEALTH CARE NETWORK INC
112334181	DIVISION 1181 AMALGAMATED TRANSIT UNION AFL-CIO MEDICAL CENTER INC
112338949	FACULTY STUDENT ASSOCIATION OF NASSAU COMMUNITY COLLEGE INC
112386540	QUEENSBOROUGH COMMUNITY COLLEGE FUND INC
112388200	COBBLE HILL HEALTH CENTER INC
112412205	BEDFORD STUYVESANT FAMILY HEALTH CENTER INC
112418771	HEALTH SCIENCE CENTER AT BROOKLYN FOUNDATION
112420729	AMERICAN COLLEGE OF ORAL AND MAXILLOFACIAL SURGEONS
112431913	NEW YORK STATE ASSOCIATION OF HEALTH CARE PROVIDERS INC
112438437	ANGELO J MEILILLO CENTER FOR MENTAL HEALTH
112449511	HOFSTRA UNIVERSITY CHAPTER OF THE AMERICAN ASSOC OF UNIVERSITY PROFESSORS
112455095	AUXILIARY SERVICE CORPORATION OF THE COLLEGE AT OLD WESTBURY INC
112464804	MEDGAR EVERS COLLEGE STUDENT FACULTY ASSOCIATION INC
112467268	BROOKLYN PLAZA MEDICAL CENTER
112496631	WINTHROP UNIVERSITY HOSP SERVICE CORP
112501235	BROOKLYN HOSPITAL SELF INSURANCE TRUST FKA BROOKLYN HOSPITAL PROVIDER
112516283	CENTRAL PARK MEDICAL UNIT INC CO RAFAEL CASTELLANOS
112516708	LEAGUE OF THE PARKER JEWISH INSTITUTE FOR HEALTHCARE AND REHABILITATION
112529356	NEW YORK CITY COLLEGE OF TECHNOLOGY FOUN
112531258	AMERICAN MATHEMATICAL ASSOCIATION OF TWO YEAR COLLEGES
112533314	NASSAU COMMUNITY COLLEGE FOUNDATION INC
112542317	LEXINGTON CENTER FOR MENTAL HEALTH SERVICES INC
112548304	STONY BROOK RADIOLOGY UNIVERSITY FACULTY PRACTICE CORPORATION
112552321	STONY BROOK FAMILY AND PREVENTIVE MEDICINE UNIVERSITY FACULTY PRACTICE CORPORATION
112552333	STONY BROOK SURGICAL ASSOCIATES UNIVERSITY FACULTY PRACTICE CORPORATION
